🤾‍♂️,sports,playing handball
🤾‍♀️,sports,playing handball
🤹,sports,juggling
🤹‍♂️,sports,juggling
🤹‍♀️,sports,juggling
🧘,sports,in lotus position
🧘‍♂️,sports,in lotus position
🧘‍♀️,sports,in lotus position
🛹,sports,skateboard
🛼,sports,roller skate
🛶,sports,canoe
🎖️,sports,medal
🏆,sports,trophy
🏅,sports,medal
🥇,sports,medal
🥈,sports,medal
🥉,sports,medal
⚽,sports,soccer ball
⚾,sports,baseball
🥎,sports,softball
🏀,sports,basketball
🏐,sports,volleyball
🏈,sports,american football
🏉,sports,rugby football
🎾,sports,tennis
🥏,sports,flying disc
🎳,sports,bowling
🏏,sports,cricket game
🏑,sports,field hockey
🏒,sports,ice hockey
🥍,sports,lacrosse
🏓,sports,ping pong
🏸,sports,badminton
🥊,sports,boxing
🥋,sports,martial arts
🥅,sports,goal net
⛳,sports,flag in hole
⛸️,sports,ice skate
🎣,sports,fishing
🎽,sports,running shirt
🎿,sports,skis
🛷,sports,sled
🥌,sports,curling stone
🎯,sports,bullseye
🎮,sports,video game
🎰,sports,slot machine
🎨,sports,palette
🎼,sports,musical score
🎤,sports,microphone
🎧,sports,headphone
🎷,sports,saxophone
🪗,sports,accordion
🎸,sports,guitar
🎹,sports,musical keyboard
🎺,sports,trumpet
🎻,sports,violin
🥁,sports,drum
🪘,sports,long drum
🎬,sports,clapper board
🏹,sports,bow and arrow
🗾,travel,Japan
🏔️,travel,mountain
⛰️,travel,mountain
🌋,travel,volcano
🗻,travel,mount fuji
🏕️,travel,camping
🏖️,travel,beach
🏜️,travel,desert
🏝️,travel,desert island
🏞️,travel,national park
🏟️,travel,stadium
🏛️,travel,classical building
🏗️,travel,building construction
🏘️,travel,houses
🏚️,travel,house
🏠,travel,house
🏡,travel,house
🏢,travel,office building
🏣,travel,post office
🏥,travel,hospital
🏦,travel,bank
🏨,travel,hotel
🏪,travel,convenience store
🏫,travel,school
🏬,travel,department store
🏭,travel,factory
🏯,travel,castle
🏰,travel,castle
💒,travel,wedding
🗼,travel,tokyo tower
⛪,travel,church
⛩️,travel,shrine
⛲,travel,fountain
⛺,travel,tent
🌁,travel,foggy
🌄,travel,sunrise
🌅,travel,sunrise
🌇,travel,sunset
🎡,travel,ferris wheel
🎢,travel,roller coaster
🚆,travel,train
🚇,travel,metro
🚉,travel,station
🚝,travel,monorail
🚌,travel,bus
🚍,travel,bus
🚑,travel,ambulance
🚒,travel,fire engine
🚓,travel,police car
🚔,travel,police car
🚕,travel,taxi
🚖,travel,taxi
🚗,travel,automobile
🚘,travel,automobile
🛻,travel,pickup truck
🚚,travel,delivery truck
🚜,travel,tractor
🏎️,travel,racing car
🏍️,travel,motorcycle
🛵,travel,motor scooter
🚲,travel,bicycle
🛴,travel,kick scooter
🚏,travel,bus stop
🛣️,travel,motorway
🛤️,travel,railway track
⛽,travel,fuel pump
🚥,travel,traffic light
🚦,travel,traffic light
🚧,travel,construction
⚓,travel,anchor
⛵,travel,sailboat
🚤,travel,speedboat
🛳️,travel,ship
⛴️,travel,ferry
🛥️,travel,motor boat
🚢,travel,ship
✈️,travel,airplane
🛩️,travel,airplane
🛫,travel,airplane
🛬,travel,airplane
🪂,travel,parachute
💺,travel,seat
🚁,travel,helicopter
🛰️,travel,satellite
🚀,travel,rocket
🪐,travel,planet
🌠,travel,shooting star
🌌,travel,milky way
🎆,travel,fireworks
🎇,travel,sparkler
🗿,travel,moai
💌,objects,love letter,ラブレター,ラブレター
🕳️,objects,hole,穴,あな
💣,objects,bomb,爆弾,ばくだん
🛀,objects,take bath,風呂,ふろ
🛌,objects,go to bed,ベッド,ベッド
🔪,objects,kitchen knife,キッチンナイフ,キッチンナイフ
🗺️,objects,world map,世界地図,せかいちず
🧭,objects,compass,コンパス,コンパス
🧱,objects,brick,レンガ,レンガ
💈,objects,barber,床屋,とこや
🦽,objects,manual wheel chair,車椅子,くるまいす
🦼,objects,motorized wheel chair,電動車椅子,でんどうくるまいす
🛢️,objects,drum,ドラム缶,ドラムかん
🛎️,objects,bellhop bell,呼び鈴,よびりん
🧳,objects,luggage,荷物,にもつ
⌛,objects,hourglass,砂時計
⏳,objects,hourglass,砂時計
⌚,objects,watch,時計,とけい
⏰,objects,alarm clock,アラーム,アラーム
⏱️,objects,stopwatch,ストップウォッチ,ストップウォッチ
